date_heure_dernier_changement,date_heure_creation,departement,latitude,longitude,id,direction,equipement,date_installation,type,emplacement,route,longueur_troncon_km,vitesse_poids_lourds_kmh,vitesse_vehicules_legers_kmh
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,06,43.707,7.2793,13607,NICE vers ST LAURENT DU VAR,MORPHO,2012-02-13T00:00:00Z,Radar fixe,NICE,"Voie Malraux , 6 m après le candélabre n° 3/8/5006",,,50
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,30,44.195,4.1338,13608,ALES vers SAINT AMBROIX,MORPHO,2012-01-19T00:00:00Z,Radar fixe,ROUSSON,RD904,,,90
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,30,43.8356,4.402,13609,NIMES vers BEAUCAIRE,MORPHO,2013-04-26T00:00:00Z,Radar fixe,NIMES,RD999,,,90
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,30,43.8356,4.4026,13610,BEAUCAIRE vers NIMES,MORPHO,2013-04-05T00:00:00Z,Radar fixe,NIMES,RD999,,,90
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,30,43.956,3.8169,13611,Ganges vers St Hippolyte du Fort,MORPHO,2012-01-27T00:00:00Z,Radar fixe,LA CADIERE ET CAMBO,RD999,,,80
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,30,43.951,3.796,13612,ST HIPPOLYTE DU FORT vers GANGES,MORPHO,2014-06-20T00:00:00Z,Radar fixe,LA CADIERE ET CAMBO,RD999,,,80
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,31,43.755,1.3626,13613,DOUBLE SENS,MORPHO,2012-01-12T00:00:00Z,Radar fixe,ST JORY,RD820,,,80
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,31,43.077,0.6372,13614,ST GAUDENS vers SEILHAN,MORPHO,2012-01-30T00:00:00Z,Radar fixe,MARTRES DE RIVIERE,RD8,,,80
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,34,43.607,3.9227,13615,MONTPELLIER vers PEROLS,MORPHO,2013-09-30T00:00:00Z,Radar fixe,MONTPELLIER,RD66 (Avenue Pierre Mendès-France),,,70
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,34,46.347,6.4331,13616,PEROLS vers MONTPELLIER,MORPHO,2013-09-30T00:00:00Z,Radar fixe,MONTPELLIER,RD66 (Avenue Pierre Mendès-France),,,70
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,34,43.421,3.5489,13617,MARSEILLAN vers MEZE,MORPHO,2013-07-01T00:00:00Z,Radar fixe,MEZE,RD 51,,,80
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,34,43.631954,3.82251,13618,GRABELS vers JUVIGNAC,MORPHO,2012-08-01T00:00:00Z,Radar fixe,MONTPELLIER,"""Avenue de l'Europe, face """"Les Milles et une Choses""",,,50
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,35,47.93,-1.9418,13619,Rennes vers Guer,MORPHO,2012-02-13T00:00:00Z,Radar fixe,LA CHAPELLE BOUEXIC,RD776,,,50
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,35,48.02,-1.8148,13620,DOUBLE SENS,MORPHO,2012-02-27T00:00:00Z,Radar fixe,GOVEN,RD44,,,80
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,35,48.093,-1.9957,13621,DOUBLE SENS,MORPHO,2012-02-13T00:00:00Z,Radar fixe,IFFENDIC,RD35,,,50
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,38,45.875,5.3577,13622,DOUBLE SENS,MORPHO,2012-02-27T00:00:00Z,Radar fixe,VERTRIEU,RD1075,,,80
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,38,45.05042,5.78997,13623,LE BOURG D OISANS vers VIZILLE,MORPHO,2012-04-06T00:00:00Z,Radar fixe,SECHILIENNE,RD1091,,,70
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,45,48.163,2.1271,13624,DOUBLE SENS,MORPHO,2011-11-24T00:00:00Z,Radar fixe,JOUY EN PITHIVERAIS,RD927,,,80
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,49,47.48869,-0.50981,13625,Angers vers Paris,MORPHO,2012-06-08T00:00:00Z,Radar fixe,ANGERS,Avenue Victor Chatenay,,,50
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,49,47.16631,-0.65357,13626,CHEMILLE EN ANJOU vers LYS HAUT LAYON,MORPHO,2011-12-01T00:00:00Z,Radar fixe,CHEMILLE EN ANJOU,RD756,,,80
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,60,49.418,1.9433,13627,DOUBLE SENS,MORPHO,2011-10-07T00:00:00Z,Radar fixe,ONS EN BRAY,RN31,,,50
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,60,49.367,2.2466,13628,DOUBLE SENS,MORPHO,2011-10-20T00:00:00Z,Radar fixe,HERMES,RD12,,,70
2018-09-05T12:20:05Z,2018-09-05T12:20:05Z,60,49.336,2.0967,13629,DOUBLE SENS,MORPHO,2011-11-14T00:00:00Z,Radar fixe,AUTEUIL,RD927,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,60,49.223,2.6117,13630,DOUBLE SENS,MORPHO,2011-10-20T00:00:00Z,Radar fixe,CHAMANT,RD932a,,,50
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,60,49.58704,2.1366,13631,DOUBLE SENS,MORPHO,2012-04-13T00:00:00Z,Radar fixe,FRANCASTEL,RD151,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,60,49.50412,1.99173,13632,DOUBLE SENS,MORPHO,2011-09-22T00:00:00Z,Radar fixe,MILLY SUR THERAIN,RD133 (face au 68 rte de Dieppe),,,50
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,60,49.591,3.1108,13633,NOYON vers CHAUNY,MORPHO,2012-03-15T00:00:00Z,Radar fixe,MONDESCOURT,RD1032,,,50
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,78,48.792,2.1795,13634,VELIZY VILLACOUBLAY vers VIROFLAY,MORPHO,2011-12-08T00:00:00Z,Radar fixe,VELIZY VILLACOUBLAY,RD53,,,70
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,78,48.766,1.9059,13635,DOUBLE SENS,MORPHO,2011-10-08T00:00:00Z,Radar fixe,COIGNIERES,RD13,,,50
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,81,43.513,2.066,13636,DOUBLE SENS,MORPHO,2013-04-29T00:00:00Z,Radar fixe,LEMPAUT,RD622,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,81,44.046,1.9998,13637,ALBI vers CORDES SUR CIEL,MORPHO,2013-05-31T00:00:00Z,Radar fixe,LIVERS CAZELLES,RD600,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,83,43.156,5.7408,13638,ST CYR vers BANDOL,MORPHO,2012-01-19T00:00:00Z,Radar fixe,BANDOL,RD559,,,70
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,91,48.66542,2.33981,13639,MORSANG SUR ORGE vers SAVIGNY SUR ORGE,MORPHO,2011-12-22T00:00:00Z,Radar fixe,VILLEMOISSON SUR ORGE,RD257,,,50
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,22,48.313,-3.1479,13640,ROSTRENEN vers ST BRIEUC,MORPHO,2012-03-22T00:00:00Z,Radar fixe,ST NICOLAS DU PELEM,RD790,,,70
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,25,46.939,6.2086,13641,DOUBLE SENS,MORPHO,2012-01-26T00:00:00Z,Radar fixe,CHAPELLE D HUIN,RD72,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,25,47.503,6.7248,13642,ARCEY vers MONTBELIARD,MORPHO,2012-01-26T00:00:00Z,Radar fixe,PRESENTEVILLERS,RD33,,,70
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,25,47.459,6.8415,13643,DOUBLE SENS,MORPHO,2012-01-26T00:00:00Z,Radar fixe,VALENTIGNEY,RD437,,,70
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,25,47.132,6.5583,13644,BESANCON vers MORTEAU,MORPHO,2012-01-19T00:00:00Z,Radar fixe,FOURNETS LUISANS,RD461,,,70
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,25,47.465,6.7025,13645,DOUBLE SENS,MORPHO,2012-01-12T00:00:00Z,Radar fixe,ETOUVANS,RD126,,,70
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,25,47.331,6.3656,13646,DOUBLE SENS,MORPHO,2012-01-26T00:00:00Z,Radar fixe,PONT LES MOULINS,RD50,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,27,48.885,0.9305,13647,DOUBLE SENS,MORPHO,2012-03-29T00:00:00Z,Radar fixe,MARBOIS,RD840,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,27,49.037,1.0958,13648,EVREUX vers CAEN,MORPHO,2012-01-26T00:00:00Z,Radar fixe,PARVILLE,RN1013,,,90
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,28,48.529,1.3172,13649,DOUBLE SENS,MORPHO,2012-02-03T00:00:00Z,Radar fixe,MITTAINVILLIERS VERIGNY,RD939,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,28,48.26,0.9159,13650,DOUBLE SENS,MORPHO,2012-02-03T00:00:00Z,Radar fixe,VICHERES,RD955,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,28,48.451,1.2934,13651,CHARTRES vers COURVILLE SUR EURE,MORPHO,2012-01-12T00:00:00Z,Radar fixe,ST LUPERCE,RD923,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,28,48.149,1.7091,13652,ALLAINES vers CHATEAUDUN,MORPHO,2012-10-12T00:00:00Z,Radar fixe,ORGERES EN BEAUCE,RD927,,,50
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,28,48.068,1.2355,13653,DOUBLE SENS,MORPHO,2012-02-13T00:00:00Z,Radar fixe,LANNERAY,RD927,,,70
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,28,48.13697,1.61709,13654,DOUBLE SENS,MORPHO,2012-02-06T00:00:00Z,Radar fixe,CORMAINVILLE,RD927,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,36,46.77,1.6628,13655,DOUBLE SENS,MORPHO,2012-01-30T00:00:00Z,Radar fixe,ST MAUR,RD67,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,36,46.803656,1.694493,13656,Rd Point pont de la  Brenne vers Av de la Châtre,MORPHO,2012-09-14T00:00:00Z,Radar fixe,CHATEAUROUX,Face au n°17 Bld Croix Normand,,,50
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,37,47.483,0.7681,13657,MONNAIE vers TOURS,MORPHO,2012-01-26T00:00:00Z,Radar fixe,MONNAIE,RD910,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,37,47.481,0.7652,13658,TOURS vers MONNAIE,MORPHO,2011-12-29T00:00:00Z,Radar fixe,MONNAIE,RD910,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,37,47.397,0.906,13659,TOURS vers AMBOISE,MORPHO,2012-01-03T00:00:00Z,Radar fixe,LUSSAULT SUR LOIRE,RD751,,,80
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,39,46.802,5.5765,13660,LONS LE SAUNIER vers BESANCON,MORPHO,2012-04-13T00:00:00Z,Radar fixe,MANTRY,RD1083,,,90
2018-09-05T12:20:06Z,2018-09-05T12:20:06Z,39,46.816,6.0539,13661,DOUBLE SENS,MORPHO,2012-04-06T00:00:00Z,Radar fixe,CENSEAU,RD471,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,40,43.554,-1.2951,13662,BAYONNE vers PAU,MORPHO,2012-01-26T00:00:00Z,Radar fixe,BIAUDOS,RD817,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,40,43.80084,-0.29199,13663,AIRE SUR L ADOUR vers VILLENEUVE DE MARSAN,MORPHO,2012-03-15T00:00:00Z,Radar fixe,HONTANX,RD934,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,41,47.46997,1.11729,13664,DOUBLE SENS,MORPHO,2012-02-03T00:00:00Z,Radar fixe,VEUZAIN SUR LOIRE,RD952,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,41,47.418,1.2775,13665,DOUBLE SENS,MORPHO,2012-02-03T00:00:00Z,Radar fixe,SAMBIN,RD764,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,56,47.755658,-3.239926,13666,Lanester vers Merlevenez,MORPHO,2012-01-10T00:00:00Z,Radar fixe,KERVIGNAC,RD194,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,56,47.8395,-3.34053,13667,ROSCOFF vers LORIENT,MORPHO,2012-05-31T00:00:00Z,Radar fixe,CAUDAN,RD769,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,56,48.022,-2.8202,13668,PONTIVY vers JOSSELIN,MORPHO,2012-03-15T00:00:00Z,Radar fixe,EVELLYS,RD764,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,56,47.664,-2.7858,13669,Nantes vers Brest,MORPHO,2012-10-20T00:00:00Z,Radar fixe,VANNES,RN165,,,90
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,56,47.62196,-2.8972,13670,Vannes vers Auray,MORPHO,2012-01-10T00:00:00Z,Radar fixe,BADEN,RD101,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,67,48.7867,7.55887,13671,Bossendorf vers Lixhausen,MORPHO,2012-09-21T00:00:00Z,Radar fixe,BOSSENDORF,RD7,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,73,45.58267,6.73921,13672,BOURG ST MAURICE vers MOUTIERS,MORPHO,2013-09-09T00:00:00Z,Radar fixe,LA PLAGNE TARENTAISE,RN90,,,70
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,74,46.347,6.4332,13673,EVIAN LES BAINS vers GENEVE,MORPHO,2012-05-31T00:00:00Z,Radar fixe,ANTHY SUR LEMAN,RD1005,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,74,45.98988,6.63149,13674,DOUBLE SENS,MORPHO,2013-10-31T00:00:00Z,Radar fixe,MAGLAND,RD1205,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,95,49.083,2.5299,13675,LOUVRES vers SURVILLIERS,MORPHO,2012-02-27T00:00:00Z,Radar fixe,ST WITZ,RD317,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,61,48.756,0.0691,13676,ARGENTAN vers L AIGLE,MORPHO,2012-06-07T00:00:00Z,Radar fixe,SILLY EN GOUFFERN,RD926,,,50
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,61,48.632,0.4816,13677,DOUBLE SENS,MORPHO,2012-06-29T00:00:00Z,Radar fixe,ST MARTIN DES PEZERITS,RD932,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,82,43.976,1.4679,13678,DOUBLE SENS,MORPHO,2012-06-22T00:00:00Z,Radar fixe,ST NAUPHARY,RD8,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,06,43.680891,7.128745,13679,Vence vers Cagnes sur Mer,MORPHO,2012-11-23T00:00:00Z,Radar fixe,ST PAUL DE VENCE,RD336,,,70
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,06,43.692385,7.243083,13680,Nice vers St Laurent du Var,MORPHO,2012-09-28T00:00:00Z,Radar fixe,NICE,Voie Mathis hauteur de la bretelle d'entrée Bellet,,,70
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,12,44.07932,2.99639,13681,MILLAU vers ST GEORGES DE LUZENCON,MORPHO,2013-08-12T00:00:00Z,Radar fixe,ST GEORGES DE LUZENCON,RD992,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,24,44.813,0.507,13682,DOUBLE SENS,MORPHO,2012-05-03T00:00:00Z,Radar fixe,BERGERAC,RN21,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,33,44.829,-0.465,13683,DOUBLE SENS,MORPHO,2012-04-30T00:00:00Z,Radar fixe,TRESSES,RD936,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,33,44.845,-0.7254,13684,Bordeaux vers Martignas sur Jalle,MORPHO,2012-09-21T00:00:00Z,Radar fixe,MERIGNAC,RD213,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,33,44.878,-0.1659,13685,DOUBLE SENS,MORPHO,2012-04-30T00:00:00Z,Radar fixe,ST SULPICE DE FALEYRENS,RD670,,,50
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,33,45.132,-1.0453,13686,DOUBLE SENS,MORPHO,2012-07-20T00:00:00Z,Radar fixe,HOURTIN,RD3,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,33,44.596,-1.103,13687,DOUBLE SENS,MORPHO,2012-09-21T00:00:00Z,Radar fixe,GUJAN MESTRAS,RD652,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,33,45.023,-0.1535,13688,Libourne vers Coutras,MORPHO,2012-04-30T00:00:00Z,Radar fixe,ABZAC,RD674,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,44,47.259,-2.2933,13689,ST NAZAIRE VERS PORNICHET,MORPHO,2012-06-21T00:00:00Z,Radar fixe,PORNICHET,RD92,,,90
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,44,47.638,-1.9849,13690,DOUBLE SENS,MORPHO,2012-06-14T00:00:00Z,Radar fixe,AVESSAC,RD775,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,44,47.224,-1.4987,13691,Carquefou vers Nantes,MORPHO,2012-05-24T00:00:00Z,Radar fixe,NANTES,Bld de la Prairie de Mauves,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,44,47.198,-1.2469,13692,LA BOISSIERE DU DORE vers VALLET,MORPHO,2012-06-28T00:00:00Z,Radar fixe,VALLET,RD763,,,80
2018-09-05T12:20:08Z,2018-09-05T12:20:08Z,47,44.43093,0.978019,13693,DOUBLE SENS,MORPHO,2012-04-24T00:00:00Z,Radar fixe,BOURLENS,RD102,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,47,44.462,0.6923,13694,DOUBLE SENS,MORPHO,2012-03-21T00:00:00Z,Radar fixe,VILLENEUVE SUR LOT,RN21,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,47,44.07858,0.36688,13695,DOUBLE SENS,MORPHO,2012-03-29T00:00:00Z,Radar fixe,MONCRABEAU,RD930,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,53,47.965,-0.582,13696,DOUBLE SENS,MORPHO,2012-08-16T00:00:00Z,Radar fixe,ARQUENAY,RD21,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,53,47.842,-0.6512,13697,DOUBLE SENS,MORPHO,2012-07-30T00:00:00Z,Radar fixe,AZE,RD28,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,53,48.0501,-0.86753,13698,DOUBLE SENS,MORPHO,2013-01-23T00:00:00Z,Radar fixe,AHUILLE,RD32,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,53,48.3075,-0.6205,13699,FOUGERES vers ALENCON,MORPHO,2013-02-14T00:00:00Z,Radar fixe,MAYENNE,RN12,,,50
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,57,48.65425,6.92866,13700,HEMING vers LUNEVILLE,MORPHO,2012-05-31T00:00:00Z,Radar fixe,ST GEORGES,RN4,,,90
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,57,49.401,6.2821,13701,THIONVILLE vers SIERCK LES BAINS,MORPHO,2013-09-27T00:00:00Z,Radar fixe,KOENIGSMACKER,RD654,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,57,48.6404,6.9047,13702,BLAMONT vers HEMING,MORPHO,2012-08-16T00:00:00Z,Radar fixe,IBIGNY,RN4,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,69,45.684,4.9507,13703,MIONS VERS VENISSIEUX,MORPHO,2012-05-14T00:00:00Z,Radar fixe,ST PRIEST,RD318 (route d'Heyrieux),,,50
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,69,45.701,4.8224,13704,IRIGNY vers OULLINS,MORPHO,2012-05-14T00:00:00Z,Radar fixe,PIERRE BENITE,Face au n° 84 du boulevard de l'Europe,,,50
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,69,45.767,4.8238,13705,STE FOY LES LYON vers ST CYR AU MONT D OR,MORPHO,2012-06-22T00:00:00Z,Radar fixe,LYON,85 Quai Pierre Scize,,,50
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,79,46.593,-0.2155,13706,DOUBLE SENS,MORPHO,2012-06-21T00:00:00Z,Radar fixe,POMPAIRE,RD938,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,79,46.837,-0.6833,13707,CERIZAY VERS MAULEON,MORPHO,2012-11-27T00:00:00Z,Radar fixe,CERIZAY,RD744,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,79,46.317,-0.4312,13708,Melle vers Niort,MORPHO,2012-09-26T00:00:00Z,Radar fixe,NIORT,Face au n° 373 avenue de Limoges,,,50
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,79,46.963,-0.2097,13709,Parthenay vers Thouars,MORPHO,2012-08-20T00:00:00Z,Radar fixe,ST JEAN DE THOUARS,RD938,,,50
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,79,46.191,-0.0563,13710,SAUZE VAUSSAIS vers MELLE,MORPHO,2012-08-20T00:00:00Z,Radar fixe,MAISONNAY,RD948,,,70
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,81,43.76781,2.0429,13711,LABOUTARIE vers LAVAUR,MORPHO,2012-06-25T00:00:00Z,Radar fixe,GRAULHET,RD631,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,81,43.748,1.7308,13712,DOUBLE SENS,MORPHO,2012-04-24T00:00:00Z,Radar fixe,ST LIEUX LES LAVAUR,RD630,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,81,43.636,2.2242,13713,DOUBLE SENS,MORPHO,2012-04-24T00:00:00Z,Radar fixe,CASTRES,RD612,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,82,43.816,1.2489,13714,DOUBLE SENS,MORPHO,2012-11-05T00:00:00Z,Radar fixe,VERDUN SUR GARONNE,RD26,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,82,44.102,1.463,13715,MONTAUBAN vers CAUSSADE,MORPHO,2013-08-12T00:00:00Z,Radar fixe,CAYRAC,RD820,,,90
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,82,44.133,1.1878,13716,Moissac vers Montauban,MORPHO,2012-06-15T00:00:00Z,Radar fixe,LAFRANCAISE,RD927,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,82,44.033,1.1635,13717,Castelsarrasin vers Montauban,MORPHO,2012-10-24T00:00:00Z,Radar fixe,CASTELSARRASIN,RD958,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,82,44.092,1.0115,13718,DOUBLE SENS,MORPHO,2012-06-14T00:00:00Z,Radar fixe,BOUDOU,RD813,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,85,46.859,-1.8101,13719,DOUBLE SENS,MORPHO,2012-09-13T00:00:00Z,Radar fixe,CHALLANS,RD753,,,50
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,85,46.812,-1.8799,13720,DOUBLE SENS,MORPHO,2012-10-26T00:00:00Z,Radar fixe,CHALLANS,RD32,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,85,46.761,-1.9375,13721,DOUBLE SENS,MORPHO,2012-09-26T00:00:00Z,Radar fixe,ST HILAIRE DE RIEZ,RD69,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,85,46.592041,-1.758629,13722,Olonne sur Mer vers Vaire,MORPHO,2012-12-06T00:00:00Z,Radar fixe,VAIRE,RD32,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,85,46.947,-2.0249,13723,DOUBLE SENS,MORPHO,2012-09-28T00:00:00Z,Radar fixe,BOUIN,RD758,,,80
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,88,48.164,6.4545,13724,Epinal vers Archettes,MORPHO,2012-06-29T00:00:00Z,Radar fixe,EPINAL,RD42,,,50
2018-09-05T12:20:10Z,2018-09-05T12:20:10Z,89,47.512,3.8401,13725,Auxerre vers Avallon,MORPHO,2012-07-16T00:00:00Z,Radar fixe,VAULT DE LUGNY,RD606,,,50
2018-09-05T12:20:11Z,2018-09-05T12:20:11Z,89,48.171,3.2612,13726,DOUBLE SENS,MORPHO,2012-03-29T00:00:00Z,Radar fixe,GRON,RD72,,,70
